step,num_samples,cider,annotations_path,predictions_path
1,1,34.4828,results\random\coco_caption_annotations.json,results\random\coco_caption_predictions.json
2,2,24.3842,results\random\coco_caption_annotations.json,results\random\coco_caption_predictions.json
3,3,22.7078,results\random\coco_caption_annotations.json,results\random\coco_caption_predictions.json
3,3,22.7078,results\random\coco_caption_annotations.json,results\random\coco_caption_predictions.json
